n_obstacles,n_episodes,success_mean,success_std,avg_reward_mean,avg_reward_std,collision_rate_mean,collision_rate_std,steps_mean,steps_std,mean_uav_dist_mean,mean_uav_dist_std,elapsed_sec,ckpt
1,20,1.0,0.0,11.43630313873291,2.222149610519409,0.013446969911456108,0.04076988250017166,20.549999237060547,7.526453495025635,0.9362786412239075,0.25795498490333557,2.3124241828918457,baseline_train.pth
2,20,1.0,0.0,11.780072212219238,2.056192636489868,0.02023916505277157,0.03378110006451607,19.5,5.248809337615967,0.9247578382492065,0.23896068334579468,2.1927645206451416,baseline_train.pth
3,20,1.0,0.0,8.632933616638184,4.033128261566162,0.07575804740190506,0.0978577509522438,24.049999237060547,5.995623588562012,1.0651087760925293,0.23164166510105133,2.228039026260376,baseline_train.pth
4,20,0.987500011920929,0.0544862374663353,6.732487678527832,6.2069902420043945,0.15652421116828918,0.1895475834608078,35.650001525878906,60.91902542114258,1.1723802089691162,0.9819210171699524,2.630540609359741,baseline_train.pth
5,20,0.987500011920929,0.0544862374663353,7.3599724769592285,6.309916973114014,0.14119938015937805,0.1564459651708603,34.25,61.25673294067383,0.9997271299362183,0.5566635131835938,2.595816135406494,baseline_train.pth
6,20,1.0,0.0,8.001371383666992,5.976627349853516,0.13527394831180573,0.14954900741577148,21.299999237060547,7.6491827964782715,0.9816201329231262,0.2705010771751404,2.275667667388916,baseline_train.pth
7,20,1.0,0.0,3.8605072498321533,6.899132251739502,0.2707360088825226,0.20100435614585876,22.049999237060547,6.815240383148193,1.0294851064682007,0.28019869327545166,2.2092020511627197,baseline_train.pth
8,20,1.0,0.0,3.1345295906066895,6.386560916900635,0.3375653028488159,0.19352521002292633,20.649999618530273,5.443114757537842,0.9974958300590515,0.23889750242233276,2.1458234786987305,baseline_train.pth
9,20,1.0,0.0,1.3653967380523682,8.575651168823242,0.3274981379508972,0.17846883833408356,22.600000381469727,6.069596767425537,1.0793483257293701,0.32300999760627747,2.322965621948242,baseline_train.pth
